Seq,DateListed,年度,類別,項目別,總計,農林漁牧業,工業_礦業及土石採取業,工業_製造業,工業_電力及燃氣供應業,工業_用水供應及污染整治業,工業_營建工程業,服務業_批發及零售業,服務業_運輸及倉儲業,服務業_住宿及餐飲業,服務業_出版影音製作傳播及通資訊服務業,服務業_金融及保險業,服務業_不動產業,服務業_專業_科學及技術服務業,服務業_支援服務業,服務業_公共行政及國防_強制性社會安全,服務業_教育業,服務業_醫療保健及社會工作服務業,服務業_藝術_娛樂及休閒服務業,服務業_其他服務業,樣本數_人,母體數_人
132,20230401,109,性別,女,100,6.73026050527599,0.0794595179324791,14.9881499110014,0.126466509976693,0.61443449015115,4.47254811332815,13.5946581175568,1.85313756920747,14.1569718843117,1.01428894548959,1.61416896948479,0.26453725648313,1.12423416955953,3.46947004041815,4.36161947938281,7.53783669495609,15.3626323915545,1.97901403325892,6.65611140067069,13590.7553504259,127108.75
133,20230401,109,年齡,15 ~ 24歲,100,3.13305458502778,0.269202130706226,9.49408000785514,0.190650749101978,0.258564964447317,12.2049209167601,17.004737630203,4.51097673733564,22.2071301743677,0.811697609910566,0.94588955348449,0.110462880380974,0.722509062047409,2.87530786413884,2.96204168132686,5.52559874972384,8.08342811321218,2.71902334448872,5.97072324548125,3267.34120996124,30553.25
134,20230401,109,年齡,15 ~ 19歲,100,3.02147361698731,0,7.57563662489024,0.115749980043107,0.23549133870839,16.4764109523429,17.2307815119342,4.16699928155185,32.3421409754929,0.439051648439371,0,0,0,2.36688752295043,1.10960325696496,2.92568053005508,1.40496527500599,2.93765466592161,7.65147281871158,669.811245609987,6263.5
135,20230401,109,年齡,20 ~ 24歲,100,3.16182751983862,0.33862019987855,9.98878127605266,0.209965108739283,0.264514867382332,11.1034489856833,16.9464486048642,4.59967681841106,19.5936557601457,0.907790323078665,1.18980228285594,0.138947498430408,0.908819563807779,3.00641216974238,3.43972251669943,6.19602918926708,9.80557642627034,2.66264576621826,5.53731512263403,2597.52996435124,24289.75
136,20230401,109,年齡,25 ~ 34歲,100,3.86945560687662,0.43476216484069,16.2127947394501,0.559910009295664,0.94150242519161,11.7360465578917,11.6405580291746,6.49575184556901,11.0010742459481,1.7209637107421,1.74628263881102,0.288635779985749,2.32536269364459,3.36163024960846,4.73102255916491,5.71267357029439,8.72707280638616,3.2259931349535,5.26850723217095,7389.81806207189,69118.25
137,20230401,109,年齡,25 ~ 29歲,100,3.2184901177233,0.329409223458257,14.0437682255103,0.616967275083702,0.667593692623393,11.4901717248083,12.3332703315693,5.94016632465709,12.7821579004212,2.0864834215358,2.13238470677179,0.254482125499514,2.82157900421212,3.19418943730424,4.10276487741657,5.75656118371314,8.33243330813263,3.87730856463981,6.01981855491954,3959.54387899651,37036
138,20230401,109,年齡,30 ~ 34歲,100,4.62093525235917,0.556382423302605,18.7167358897833,0.494042655985787,1.25770480561681,12.0198863857741,10.8408855363947,7.13712411068426,8.94497736287199,1.29900490146421,1.30056339564713,0.328063025504757,1.75252670869406,3.55492523124157,5.45628813440454,5.66200936655004,9.18264772576736,2.47410951538623,4.40118757256739,3430.2741830754,32082.25
139,20230401,109,年齡,35 ~ 44歲,100,5.86187787271496,0.442248695167138,19.8722151190377,0.515413507963012,1.51183132975236,14.0827776550315,9.03947640072585,7.29402475288766,7.94019319857003,1.19707775391269,1.14818047803426,0.367272872153545,1.14492065964236,3.20512588332023,4.34497571435298,4.71587060694196,10.1391218049252,1.53682327075689,5.64057242410962,7379.88080342628,69022.25
140,20230401,109,年齡,35 ~ 39歲,100,4.8266965068459,0.30434131843225,21.2026827651583,0.519589745051781,0.983585525612425,13.2342145214286,9.36116832854607,7.2621397974384,8.31129769142499,1.23233287955354,1.4611234257286,0.487516303999202,1.15393113475834,2.84241962039301,4.37410461643728,4.50524935318561,9.66550964697833,1.77971960685089,6.4923772121765,3750.50057595734,35075.75
141,20230401,109,年齡,40 ~ 44歲,100,6.93149514677507,0.584743640728794,18.4974886954472,0.511098345926679,2.0576495367711,14.9595687331536,8.70708320445407,7.32697037986243,7.55674369964503,1.16064984608133,0.824827301783689,0.24302947284698,1.13561044584861,3.57989778033081,4.31487782245592,4.93349829879369,10.6284889458413,1.28584684724493,4.76043185600872,3629.38022746898,33946.5
142,20230401,109,年齡,45 ~ 54歲,100,10.0558932470108,0.481562342980884,14.122271480215,0.695441832338045,1.21257664756128,19.1077534649811,6.07444429128519,6.14203198854566,8.56407269234703,0.876861440774057,0.735460863610695,0.303255325866079,0.678100252119897,3.51144766622349,7.48845006291881,5.66447154869204,7.62184683382764,1.48292743660318,5.18113058209904,6011.66885160843,56223.25
143,20230401,109,年齡,45 ~ 49歲,100,8.87586860126906,0.476944870537548,14.8238489199588,0.661352377599517,1.05531386995918,17.6427691301833,6.74847654252689,6.48862960075775,9.1994199545687,1.16595837419636,0.702424958717865,0.196980746179831,0.916170023721511,3.51547765735409,8.44418739155581,5.59844427121315,6.85995926270526,1.59428672014484,5.03348672685057,3189.10031969614,29825.25
